"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Jonathan Haidt","Social psychologist","Can a divided America heal?","How can the US recover after the negative, partisan presidential election of 2016? Social psychologist Jonathan Haidt studies the morals that form the basis of our political choices. In conversation with TED Curator Chris Anderson, he describes the patterns of thinking and historical causes that have led to such sharp divisions in America — and provides a vision for how the country might move forward.","Jonathan Haidt studies how — and why — we evolved to be moral and political creatures.","https://ted.com/talks/jonathan_haidt_can_a_divided_america_heal","not available","https://ted.com/speakers/jonathan_haidt","Nov 2016","Informative, Inspiring"
"Suzanne Barakat","Physician","Islamophobia killed my brother. Let's end the hate","On February 10, 2015, Suzanne Barakat's brother Deah, her sister-in-law Yusor and Yusor's sister Razan were murdered by their neighbor in Chapel Hill, North Carolina. The perpetrator's story, that he killed them over a traffic dispute, went unquestioned by the media and police until Barakat spoke out at a press conference, calling the murders what they really were: hate crimes. As she reflects on how she and her family reclaimed control of their narrative, Barakat calls on us to speak up when we witness hateful bigotry and express our allyship with those who face discrimination.","With a voice amplified by unthinkable personal tragedy, Suzanne Barakat speaks out against bigotry and violence against those society deems ""different.""","https://ted.com/talks/suzanne_barakat_islamophobia_killed_my_brother_let_s_end_the_hate","https://twitter.com/sbarakat210","https://ted.com/speakers/suzanne_barakat","Nov 2016","Courageous, Inspiring"
"Halla Tómasdóttir","Change catalyst","It's time for women to run for office","With warmth and wit, Halla Tómasdóttir shares how she overcame media bias, changed the tone of the political debate and surprised her entire nation when she ran for president of Iceland — inspiring the next generation of leaders along the way. ""What we see, we can be,"" she says. ""It matters that women run.""","Icelandic entrepreneur Halla Tómasdóttir believes that if you’re going to change things, you have to do it from the inside. She infused the world of finance with “feminine values,"" which helped her survive the financial meltdown in Iceland and nearly made her president.","https://ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office","https://twitter.com/hallatomas","https://ted.com/speakers/halla_tomasdottir","Nov 2016","Inspiring, Courageous"
"Amanda Palmer, Jherek Bischoff and Usman Riaz","Musician, blogger","""Space Oddity""","Singer Amanda Palmer pays tribute to the inimitable David Bowie with a cover of ""Space Oddity."" She's joined onstage by Jherek Bischoff, TED Fellow Usman Riaz and, no, your eyes are not deceiving you, none other than former Vice President Al Gore.","Alt-rock icon Amanda Fucking Palmer believes we shouldn't fight the fact that digital content is freely shareable — and suggests that artists can and should be directly supported by fans.","https://ted.com/talks/amanda_palmer_jherek_bischoff_usman_riaz_space_oddity","http://twitter.com/amandapalmer","https://ted.com/speakers/amanda_palmer","Nov 2016","Beautiful, Fascinating"
"Tim Leberecht","Business romantic","4 ways to build a human company in the age of machines","In the face of artificial intelligence and machine learning, we need a new radical humanism, says Tim Leberecht. For the self-described ""business romantic,"" this means designing organizations and workplaces that celebrate authenticity instead of efficiency and questions instead of answers. Leberecht proposes four (admittedly subjective) principles for building beautiful organizations.","A humanist in Silicon Valley, Tim Leberecht argues that in a time of artificial intelligence, big data and the quantification of everything, we are losing sight of the importance of the emotional and social aspects of our work.","https://ted.com/talks/tim_leberecht_4_ways_to_build_a_human_company_in_the_age_of_machines","https://twitter.com/timleberecht","https://ted.com/speakers/tim_leberecht","Nov 2016","Inspiring, Beautiful"
"Mallory Soldner","Data activist","Your company's data could help end world hunger","Your company might have donated money to help solve humanitarian issues, but you could have something even more useful to offer: your data. Mallory Soldner shows us how private sector companies can help make real progress on big problems — from the refugee crisis to world hunger — by donating untapped data and decision scientists. What might your company be able to contribute?","UPS's advanced analytics manager Mallory Soldner researches how to do the most good with data.","https://ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger","https://twitter.com/mallorysoldner","https://ted.com/speakers/mallory_soldner","Nov 2016","Informative, Inspiring"
"Kandice Sumner","Educator","How America's public schools keep kids in poverty","Why should a good education be exclusive to rich kids? Schools in low-income neighborhoods across the US, specifically in communities of color, lack resources that are standard at wealthier schools — things like musical instruments, new books, healthy school lunches and soccer fields — and this has a real impact on the potential of students. Kandice Sumner sees the disparity every day in her classroom in Boston. In this inspiring talk, she asks us to face facts — and change them.","Kandice Sumner thinks we've been looking at the ""achievement gap"" in education all wrong.","https://ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty","not available","https://ted.com/speakers/kandace_sumner","Nov 2016","Inspiring, Informative"
"Christopher Soghoian","Privacy researcher and activist","Your smartphone is a civil rights issue","The smartphone you use reflects more than just personal taste ... it could determine how closely you can be tracked, too. Privacy expert and TED Fellow Christopher Soghoian details a glaring difference between the encryption used on Apple and Android devices and urges us to pay attention to a growing digital security divide. ""If the only people who can protect themselves from the gaze of the government are the rich and powerful, that's a problem,"" he says. ""It's not just a cybersecurity problem — it's a civil rights problem.""","Christopher Soghoian researches and exposes the high-tech surveillance tools that governments use to spy on their own citizens, and he is a champion of digital privacy rights.
","https://ted.com/talks/christopher_soghoian_your_smartphone_is_a_civil_rights_issue","https://twitter.com/csoghoian","https://ted.com/speakers/christopher_soghoian","Oct 2016","Informative, Persuasive"
"Kelli Jean Drinkwater","Artist, activist","Enough with the fear of fat","In a society obsessed with body image and marked by a fear of fat, Kelli Jean Drinkwater engages in radical body politics through art. She confronts the public's perception of bigger bodies by bringing them into spaces that were once off limits — from fashion runways to the Sydney Festival — and entices all of us to look again and rethink our biases. ""Unapologetic fat bodies can blow people's minds,"" she says.","Kelli Jean Drinkwater is a multi-disciplinary artist and activist recognized for her creative practice and voice in radical body politics.","https://ted.com/talks/kelli_jean_drinkwater_enough_with_the_fear_of_fat","not available","https://ted.com/speakers/kelli_jean_drinkwater","Oct 2016","Inspiring, Courageous"
"Silk Road Ensemble and Rhiannon Giddens","Musical explorers","""St. James Infirmary Blues""","Singer Rhiannon Giddens joins international music collective Silk Road Ensemble to perform ""St. James Infirmary Blues,"" spiking the American folk song that Louis Armstrong popularized in the 1920s with Romani influence and mischievous energy.","With an eclectic repertoire spanning classical, improvisational and folk traditions from around the globe, the Silk Road Ensemble spins unique sounds that celebrate cultural solidarity.","https://ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues","https://twitter.com/silkroadproject","https://ted.com/speakers/silk_road_ensemble","Oct 2016","Beautiful, Fascinating"
"Tasos Frantzolas","Entrepreneur","Everything you hear on film is a lie","Sound design is built on deception — when you watch a movie or TV show, nearly all of the sounds you hear are fake. In this audio-rich talk, Tasos Frantzolas explores the role of sound in storytelling and demonstrates just how easily our brains are fooled by what we hear.","Tasos Frantzolas lives and creates at the intersection of audio and technology.","https://ted.com/talks/tasos_frantzolas_everything_you_hear_on_film_is_a_lie","not available","https://ted.com/speakers/tasos_frantzolas","Oct 2016","Informative, Fascinating"
"Alyssa Monks","Painter","How loss helped one artist find beauty in imperfection","Painter Alyssa Monks finds beauty and inspiration in the unknown, the unpredictable and even the awful. In a poetic, intimate talk, she describes the interaction of life, paint and canvas through her development as an artist, and as a human.","Alyssa Monks transfers the intimacy and vulnerability of human experience onto a painted surface.","https://ted.com/talks/alyssa_monks_how_loss_helped_one_artist_find_beauty_in_imperfection","not available","https://ted.com/speakers/alyssa_monks","Oct 2016","Beautiful, Inspiring"
"Ian Bremmer","Political theorist","How the US should use its superpower status","Americanization and globalization have basically been the same thing for the last several generations. But the US's view of the world — and the world's view of the US — is changing. In a fast-paced tour of the current state of international politics, Ian Bremmer discusses the challenges of a world where no single country or alliance can meet the challenges of global leadership and asks if the US is ready to lead by example, not by force.","Ian Bremmer is the president and founder of Eurasia Group, a political risk research and consulting firm.","https://ted.com/talks/ian_bremmer_how_the_us_should_use_its_superpower_status","https://twitter.com/ianbremmer","https://ted.com/speakers/ian_bremmer","Oct 2016","Informative, Persuasive"
"Wanis Kabbaj","Transportation geek","What a driverless world could look like","What if traffic flowed through our streets as smoothly and efficiently as blood flows through our veins? Transportation geek Wanis Kabbaj thinks we can find inspiration in the genius of our biology to design the transit systems of the future. In this forward-thinking talk, preview exciting concepts like modular, detachable buses, flying taxis and networks of suspended magnetic pods that could help make the dream of a dynamic, driverless world into a reality.","UPS's Wanis Kabbaj works at the intersection of biology and transportation.","https://ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like","not available","https://ted.com/speakers/wanis_kabbaj","Oct 2016","Inspiring, Fascinating"
"Philippa Neave","Electoral consultant","The unexpected challenges of a country's first election","How do you teach an entire country how to vote when no one has done it before? It's a huge challenge facing fledgling democracies around the world — and one of the biggest problems turns out to be a lack of shared language. After all, if you can't describe something, you probably can't understand it. In this eye-opening talk, election expert Philippa Neave shares her experiences from the front lines of democracy — and her solution to this unique language gap.","Philippa Neave is senior advisor on the UN's Lexicon of Electoral Terminology.","https://ted.com/talks/philippa_neave_the_unexpected_challenges_of_a_country_s_first_election","not available","https://ted.com/speakers/philippa_neave","Oct 2016","Informative, Inspiring"
"Manwar Ali","Peace activist","Inside the mind of a former radical jihadist","""For a long time, I lived for death,"" says Manwar Ali, a former radical jihadist who participated in violent, armed campaigns in the Middle East and Asia in the 1980s. In this moving talk, he reflects on his experience with radicalization and makes a powerful, direct appeal to anyone drawn to Islamist groups that claim violence and brutality are noble and virtuous: let go of anger and hatred, he says, and instead cultivate your heart to see goodness, beauty and truth in others.","A former committed pioneer of violent jihad, Manwar Ali draws on his experience and deepening understanding of Islam to prevent radicalisation and extremism.","https://ted.com/talks/manwar_ali_inside_the_mind_of_a_former_radical_jihadist","not available","https://ted.com/speakers/manwar_ali","Oct 2016","Courageous, Informative"
"Zeynep Tufekci","Techno-sociologist","Machine intelligence makes human morals more important","Machine intelligence is here, and we're already using it to make subjective decisions. But the complex way AI grows and improves makes it hard to understand and even harder to control. In this cautionary talk, techno-sociologist Zeynep Tufekci explains how intelligent machines can fail in ways that don't fit human error patterns — and in ways we won't expect or be prepared for. ""We cannot outsource our responsibilities to machines,"" she says. ""We must hold on ever tighter to human values and human ethics.""","Techno-sociologist Zeynep Tufekci asks big questions about our societies and our lives, as both algorithms and digital connectivity spread.","https://ted.com/talks/zeynep_tufekci_machine_intelligence_makes_human_morals_more_important","https://twitter.com/zeynep","https://ted.com/speakers/zeynep_tufekci","Oct 2016","Informative, Persuasive"
"Todd Coleman","Bioelectronics innovator﻿","A temporary tattoo that brings hospital care to the home","What if doctors could monitor patients at home with the same degree of accuracy they'd get during a stay at the hospital? Bioelectronics innovator Todd Coleman shares his quest to develop wearable, flexible electronic health monitoring patches that promise to revolutionize healthcare and make medicine less invasive.","UCSD bioengineering professor Todd Coleman integratively spans the disciplines of medical electronics, machine learning and public health.","https://ted.com/talks/todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home","not available","https://ted.com/speakers/todd_coleman","Oct 2016","Informative, Ingenious"
"Rachel Botsman","Trust researcher","We've stopped trusting institutions and started trusting strangers","Something profound is changing our concept of trust, says Rachel Botsman. While we used to place our trust in institutions like governments and banks, today we increasingly rely on others, often strangers, on platforms like Airbnb and Uber and through technologies like the blockchain. This new era of trust could bring with it a more transparent, inclusive and accountable society — if we get it right. Who do you trust?","Rachel Botsman is a recognized expert on how collaboration and trust enabled by digital technologies will change the way we live, work, bank and consume.","https://ted.com/talks/rachel_botsman_we_ve_stopped_trusting_institutions_and_started_trusting_strangers","https://twitter.com/rachelbotsman","https://ted.com/speakers/rachel_botsman","Oct 2016","Informative, Fascinating"
"Trevor Copp and Jeff Fox","Artistic director","Ballroom dance that breaks gender roles","Tango, waltz, foxtrot ... these classic ballroom dances quietly perpetuate an outdated idea: that the man always leads and the woman always follows. That's an idea worth changing, say Trevor Copp and Jeff Fox, as they demonstrate their ""Liquid Lead"" dance technique along with fellow dancer Alida Esmail. Watch as Copp and Fox captivate and command the stage while boldly deconstructing and transforming the art of ballroom dance.","Trevor Copp is known for innovative social justice theater that blends physicality, image and narrative.","https://ted.com/talks/trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles","not available","https://ted.com/speakers/trevor_copp","Oct 2016","Beautiful, Inspiring"
"Jim Hemerling","Organizational change expert","5 ways to lead in an era of constant change","Who says change needs to be hard? Organizational change expert Jim Hemerling thinks adapting your business in today's constantly-evolving world can be invigorating instead of exhausting. He outlines five imperatives, centered around putting people first, for turning company reorganization into an empowering, energizing task for all.","BCG's Jim Hemerling practices smart ways to deal with, and even grow from, the unavoidable and accelerating transformations taking place at work.","https://ted.com/talks/jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change","not available","https://ted.com/speakers/jim_hemerling","Oct 2016","Inspiring, Informative"
"Melissa Walker","Creative arts therapist","Art can heal PTSD's invisible wounds","Trauma silences its victims, says creative arts therapist Melissa Walker, but art can help those suffering from the psychological wounds of war begin to open up and heal. In this inspiring talk, Walker describes how mask-making, in particular, allows afflicted servicemen and women reveal what haunts them — and, finally, start to let it go.","Melissa Walker helps military service members recover from traumatic brain injury and mental illness.","https://ted.com/talks/melissa_walker_art_can_heal_ptsd_s_invisible_wounds","not available","https://ted.com/speakers/melissa_walker","Oct 2016","Inspiring, Informative"
"Pico Iyer","Global author","The beauty of what we'll never know","Almost 30 years ago, Pico Iyer took a trip to Japan, fell in love with the country and moved there. A keen observer of the human spirit, Iyer professes that he now feels he knows far less about Japan — or, indeed, about anything — than he thought he knew three decades ago. In this lyrical meditation on wisdom, Iyer expands on this curious insight about knowledge gained with age: that the more we know, the more we see how little we know.","Pico Iyer has spent more than 30 years tracking movement and stillness — and the way criss-crossing cultures have changed the world, our imagination and all our relationships.","https://ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know","https://twitter.com/picoiyer","https://ted.com/speakers/pico_iyer","Oct 2016","Inspiring, Beautiful"
"Ione Wells","Writer, activist","How we talk about sexual assault online","We need a more considered approach to using social media for social justice, says writer and activist Ione Wells. After she was the victim of an assault in London, Wells published a letter to her attacker in a student newspaper that went viral and sparked the #NotGuilty campaign against sexual violence and victim-blaming. In this moving talk, she describes how sharing her personal story gave hope to others and delivers a powerful message against the culture of online shaming.","University student Ione Wells is the founder of the international #NotGuilty campaign against sexual violence and misdirected victim blaming.","https://ted.com/talks/ione_wells_how_we_talk_about_sexual_assault_online","https://twitter.com/ionewells","https://ted.com/speakers/ione_wells","Oct 2016","Courageous, Inspiring"
"John McWhorter","Linguist","4 reasons to learn a new language","English is fast becoming the world's universal language, and instant translation technology is improving every year. So why bother learning a foreign language? Linguist and Columbia professor John McWhorter shares four alluring benefits of learning an unfamiliar tongue.","Linguist John McWhorter thinks about language in relation to race, politics and our shared cultural history.","https://ted.com/talks/john_mcwhorter_4_reasons_to_learn_a_new_language","https://twitter.com/JohnHMcWhorter","https://ted.com/speakers/john_mcwhorter","Oct 2016","Inspiring, Informative"
"Rainn Wilson","Actor, writer","Ideas worth dating","Being alone takes its toll. Feel like it's time to make a real connection? Third-wheel with Rainn Wilson (star of ""The Office"") as he dates some of the best ideas on TED.com and discover your perfect ""idea mate"" along the way.","Rainn Wilson is an actor, writer and co-creator of media and production company SoulPancake.","https://ted.com/talks/rainn_wilson_ideas_worth_dating","https://twitter.com/rainnwilson","https://ted.com/speakers/rainn_wilson","Oct 2016","Funny, Ingenious"
"J.D. Vance","Author","America's forgotten working class","J.D. Vance grew up in a small, poor city in the Rust Belt of southern Ohio, where he had a front-row seat to many of the social ills plaguing America: a heroin epidemic, failing schools, families torn apart by divorce and sometimes violence. In a searching talk that will echo throughout the country's working-class towns, the author details what the loss of the American Dream feels like and raises an important question that everyone from community leaders to policy makers needs to ask: How can we help kids from America's forgotten places break free from hopelessness and live better lives?","Former Marine and Yale Law School graduate J.D. Vance writes about how upward mobility really feels.","https://ted.com/talks/j_d_vance_america_s_forgotten_working_class","https://twitter.com/JDVance1","https://ted.com/speakers/jd_vance","Sep 2016","Inspiring, Informative"
"Rebecca MacKinnon","Internet freedom activist","We can fight terror without sacrificing our rights","Can we fight terror without destroying democracy? Internet freedom activist Rebecca MacKinnon thinks that we'll lose the battle against extremism and demagoguery if we censor the internet and press. In this critical talk, she calls for a doubling-down on strong encryption and appeals to governments to better protect, not silence, the journalists and activists fighting against extremists.","Rebecca MacKinnon looks at issues of free expression, governance and democracy (or lack of) in the digital networks, platforms and services on which we are all more and more dependent.","https://ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights","https://twitter.com/@rmack","https://ted.com/speakers/rebecca_mackinnon","Sep 2016","Informative, Inspiring"
"Sebastian Kraves","Biotech entrepreneur","The era of personal DNA testing is here","From improving vaccines to modifying crops to solving crimes, DNA technology has transformed our world. Now, for the first time in history, anyone can experiment with DNA at home, in their kitchen, using a device smaller than a shoebox. We are living in a personal DNA revolution, says biotech entrepreneur Sebastian Kraves, where the secrets buried in DNA are yours to find.","Sebastian Kraves wants to bring DNA science to more people in new places.","https://ted.com/talks/sebastian_kraves_the_era_of_personal_dna_testing_is_here","not available","https://ted.com/speakers/sebastian_kraves","Sep 2016","Informative, Inspiring"
"Nadia Lopez","Educator","Why open a school? To close a prison","Our kids are our future, and it's crucial they believe it themselves. That's why Nadia Lopez opened an academic oasis in Brownsville, Brooklyn, one of the most underserved and violent neighborhoods in New York — because she believes in every child's brilliance and capabilities. In this short, energizing talk, the founding principal of Mott Hall Bridges Academy (and a star of Humans of New York) shares how she helps her scholars envision a brighter future for themselves and their families.","Nadia Lopez is the founding principal of Mott Hall Bridges Academy, where she is showing the world how underprivileged communities can beat the odds and create positive institutions that have a global impact.","https://ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison","not available","https://ted.com/speakers/nadia_lopez","Sep 2016","Inspiring, Courageous"
"David Burkus","Management researcher","Why you should know how much your coworkers get paid","How much do you get paid? How does it compare to the people you work with? You should know, and so should they, says management researcher David Burkus. In this talk, Burkus questions our cultural assumptions around keeping salaries secret and makes a compelling case for why sharing them could benefit employees, organizations and society.","David Burkus challenges the traditional and widely accepted principles of business management.","https://ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid","https://twitter.com/davidburkus","https://ted.com/speakers/david_burkus","Sep 2016","Informative, Persuasive"
"Eric Liu","Civics educator","There's no such thing as not voting","Many people like to talk about how important voting is, how it's your civic duty and responsibility as an adult. Eric Liu agrees with all that, but he also thinks it's time to bring joy back to the ballot box. The former political speechwriter details how he and his team are fostering the culture around voting in the 2016 US presidential election — and closes with a powerful analysis of why anyone eligible should show up on Election Day.","Eric Liu is founder of Citizen University, which teaches the art of powerful citizenship, and the executive director of the Aspen Institute Citizenship & American Identity Program.","https://ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting","https://twitter.com/ericpliu","https://ted.com/speakers/eric_liu","Sep 2016","Inspiring, Persuasive"
"Abigail Marsh","Psychologist","Why some people are more altruistic than others","Why do some people do selfless things, helping other people even at risk to their own well-being? Psychology researcher Abigail Marsh studies the motivations of people who do extremely altruistic acts, like donating a kidney to a complete stranger. Are their brains just different?","Abigail Marsh asks essential questions: If humans are evil, why do we sometimes go to extraordinary lengths to help others even at a cost to ourselves?","https://ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others","https://twitter.com/aa_marsh","https://ted.com/speakers/abigail_marsh","Sep 2016","Informative, Inspiring"
"Michael Murphy","Designer","Architecture that's built to heal","Architecture is more than a clever arrangement of bricks. In this eloquent talk, Michael Murphy shows how he and his team look far beyond the blueprint when they're designing. Considering factors from airflow to light, theirs is a holistic approach that produces community as well as (beautiful) buildings. He takes us on a tour of projects in countries such as Rwanda and Haiti, and reveals a moving, ambitious plan for The Memorial to Peace and Justice, which he hopes will heal hearts in the American South.","As co-founder and CEO of MASS Design Group, Michael Murphy envisions and creates  community-centric structures with healing built into their core.","https://ted.com/talks/michael_murphy_architecture_that_s_built_to_heal","https://twitter.com/mpmurphyjr","https://ted.com/speakers/michael_murphy","Sep 2016","Inspiring, Beautiful"
"Michael Shellenberger","Climate policy expert","How fear of nuclear power is hurting the environment","""We're not in a clean energy revolution; we're in a clean energy crisis,"" says climate policy expert Michael Shellenberger. His surprising solution: nuclear. In this passionate talk, he explains why it's time to overcome longstanding fears of the technology, and why he and other environmentalists believe it's past time to embrace nuclear as a viable and desirable source of clean power.","Michael Shellenberger is a global thinker on energy, technology and the environment.","https://ted.com/talks/michael_shellenberger_how_fear_of_nuclear_power_is_hurting_the_environment","https://twitter.com/ShellenbergerMD","https://ted.com/speakers/michael_shellenberger","Sep 2016","Informative, Persuasive"
"Julie Lythcott-Haims","Academic, author","How to raise successful kids — without over-parenting","By loading kids with high expectations and micromanaging their lives at every turn, parents aren't actually helping. At least, that's how Julie Lythcott-Haims sees it. With passion and wry humor, the former Dean of Freshmen at Stanford makes the case for parents to stop defining their children's success via grades and test scores. Instead, she says, they should focus on providing the oldest idea of all: unconditional love.","Julie Lythcott-Haims speaks and writes on the phenomenon of helicopter parenting and the dangers of a checklisted childhood — the subject of her book, ""How to Raise an Adult.""","https://ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting","https://twitter.com/deanjulie","https://ted.com/speakers/julie_lythcott_haims","Sep 2016","Inspiring, Persuasive"
"Neha Narula","Currency futurist","The future of money","What happens when the way we buy, sell and pay for things changes, perhaps even removing the need for banks or currency exchange bureaus? That's the radical promise of a world powered by cryptocurrencies like Bitcoin and Ethereum. We're not there yet, but in this sparky talk, digital currency researcher Neha Narula describes the collective fiction of money — and paints a picture of a very different looking future.","Neha Narula is helping redefine the future of money by researching cryptocurrencies and providing clarity on how digital currencies will transform our world.","https://ted.com/talks/neha_narula_the_future_of_money","https://twitter.com/neha","https://ted.com/speakers/neha_narula","Sep 2016","Informative, Fascinating"
"Franz Freudenthal","Pediatric cardiologist","A new way to heal hearts without surgery","At the intersection of medical invention and indigenous culture, pediatric cardiologist Franz Freudenthal mends holes in the hearts of children across the world, using a device born from traditional Bolivian loom weaving. ""The most complex problems in our time,"" he says, ""can be solved with simple techniques, if we are able to dream.""","With his unique inventions (including a device knitted from threads of high-tech alloy by indigenous craftswomen), Franz Freudenthal saves children from congenital heart defects.","https://ted.com/talks/franz_freudenthal_a_new_way_to_heal_hearts_without_surgery","not available","https://ted.com/speakers/franz_freudenthal","Sep 2016","Inspiring, Ingenious"
